id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_kerusakan,jumlah_kerusakan,satuan,tahun
1519,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HANCUR,0,UNIT,2021
1520,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK BERAT,49,UNIT,2021
1521,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK SEDANG,28,UNIT,2021
1522,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK RINGAN,56,UNIT,2021
1523,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TERANCAM,146,UNIT,2021
1524,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TERENDAM/TERTIMBUN,267,UNIT,2021
1525,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HANCUR,0,UNIT,2021
1526,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK BERAT,27,UNIT,2021
1527,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK SEDANG,5,UNIT,2021
1528,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK RINGAN,2,UNIT,2021
1529,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TERANCAM,0,UNIT,2021
1530,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TERENDAM/TERTIMBUN,60719,UNIT,2021
1531,32,JAWA BARAT,3213,KABUPATEN SUBANG,HANCUR,0,UNIT,2021
1532,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK BERAT,4,UNIT,2021
1533,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK SEDANG,6,UNIT,2021
1534,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK RINGAN,15,UNIT,2021
1535,32,JAWA BARAT,3213,KABUPATEN SUBANG,TERANCAM,8,UNIT,2021
1536,32,JAWA BARAT,3213,KABUPATEN SUBANG,TERENDAM/TERTIMBUN,37542,UNIT,2021
1537,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HANCUR,0,UNIT,2021
1538,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK BERAT,88,UNIT,2021
1539,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK SEDANG,15,UNIT,2021
1540,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK RINGAN,54,UNIT,2021
1541,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TERANCAM,11,UNIT,2021
1542,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TERENDAM/TERTIMBUN,130,UNIT,2021
1543,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HANCUR,0,UNIT,2021
1544,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK BERAT,102,UNIT,2021
1545,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK SEDANG,87,UNIT,2021
1546,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK RINGAN,418,UNIT,2021
1547,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TERANCAM,0,UNIT,2021
1548,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TERENDAM/TERTIMBUN,27511,UNIT,2021
1549,32,JAWA BARAT,3216,KABUPATEN BEKASI,HANCUR,0,UNIT,2021
1550,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK BERAT,21,UNIT,2021
1551,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK SEDANG,1,UNIT,2021
1552,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK RINGAN,20,UNIT,2021
1553,32,JAWA BARAT,3216,KABUPATEN BEKASI,TERANCAM,0,UNIT,2021
1554,32,JAWA BARAT,3216,KABUPATEN BEKASI,TERENDAM/TERTIMBUN,28130,UNIT,2021
1555,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HANCUR,0,UNIT,2021
1556,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK BERAT,30,UNIT,2021
1557,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK SEDANG,28,UNIT,2021
1558,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK RINGAN,35,UNIT,2021
1559,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TERANCAM,55,UNIT,2021
